"ra_number","date_of_survey","check_out_day","check_in_day","primary_rental_purpose","vehicle_model_description","overall_satisfaction","mechanical_condition_of_vehicle","cleanliness_of_the_vehicle","vehicle_selection_choice","ease_of_pick_up","ease_of_return","would_you_recommend","recommend_comment"
"832866801",2019-07-21,2019-07-04,2019-07-09,"Leisure","SIREQUINOXFWD2N",10,10,10,10,10,10,10,"Always a great experience with Hertz. Great vehicles and and great customer service! Always someone there to help if need be and the nicest customer service on the airport drive-backs!"
"910714954",2019-07-21,2019-07-14,2019-07-19,"Leisure","SIRIMPALA5P3.6N",8,7,7,7,10,10,10,"Whole process was easy"
"910320401",2019-07-21,2019-07-13,2019-07-20,"Both Business and Leisure","SIR 300 3.6 RWN",10,10,10,10,10,10,10,"Fast pick up, clean car, good choices, car operated well"
"910790650",2019-07-21,2019-07-14,2019-07-20,"Business","SIR 300 3.6 AWN",,,,,,,,
"837756975",2019-07-21,2019-07-11,2019-07-15,"Leisure","SIREQUINOXFWD1N",9,10,10,9,10,10,10,"Quick check in"
"914011114",2019-07-21,2019-07-18,2019-07-20,"Both Business and Leisure","SIR SOUL 5D N",7,9,9,6,10,10,8,"Smooth process in Phoenix."
"913133174",2019-07-21,2019-07-17,2019-07-20,"Leisure","SIR CAMARO CV N",10,10,8,10,10,10,10,"Ease of renting and drop off, good customer service, selection of cars"
"838532435",2019-07-21,2019-07-12,2019-07-19,"Leisure","SIREQUINOXFWD1N",10,10,10,10,10,10,10,"the people were very accomodating and knowledgable"
"914204034",2019-07-21,2019-07-18,2019-07-19,"Both Business and Leisure","SIR 300 3.6 AWN",8,8,7,8,7,3,7,"Overall experience was very good. Line to exit/check out at airport parking lot was a bit of a wait but once we got to the exit booth the process was quick."
"838397276",2019-07-21,2019-07-12,2019-07-20,"Leisure","EXPLFWD 7P 3.5N",,,,,,,,
"836367066",2019-07-21,2019-07-09,2019-07-18,"Leisure","SIR PACIFICA N",,,,,,,,
"912699292",2019-07-21,2019-07-17,2019-07-20,"Both Business and Leisure","SIR FLEX FWD N",10,10,10,10,5,10,7,"i love hertz and almost always use it. I am a gold member but when my car is not in my spot.. its a problem for me. The good news is that the rep let me pick from presidents choice and I ended up with a ford flex that was wonderful"
"912312800",2019-07-21,2019-07-16,2019-07-20,"Leisure","SIR 300 3.6 AWN",8,9,9,8,9,10,8,"Friendly employees good car"
"910212671",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIR PACIFICA N",,,,,,,,
"838821675",2019-07-21,2019-07-12,2019-07-20,"Leisure","SIREQUINOXFWD1N",10,10,10,10,10,10,7,"I got a flat tire and the cost of the replacement tire was passed onto me. That cost added another $69.00 to my rental. I feel road hazard should be covered."
"910199474",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIR EXPLORER 3N",10,10,10,10,10,10,10,"Picking up and dropping off our rental was easy and convenient. The folks that we dealt with were very warm and friendly. The car was clean and in perfect running condition."
"910275391",2019-07-21,2019-07-13,2019-07-15,"Leisure","SIRENCOREFWDSUN",,,,,,,,
"910025535",2019-07-21,2019-07-13,2019-07-16,"Leisure","SIRRAM15004WCCN",,,,,,,,
"912989943",2019-07-21,2019-07-17,2019-07-20,"Business","SIR 300 3.6 RWN",10,10,9,10,10,10,10,"all good.."
"910622602",2019-07-21,2019-07-14,2019-07-17,"Business","WRAN 4D 4W 3.6N",,,,,,,,
"837515346",2019-07-21,2019-07-11,2019-07-16,"Leisure","SIREQUINOXFWD1N",8,10,10,8,10,10,10,"Picking up my car at the airport is as easier than getting a taxi."
"913290243",2019-07-21,2019-07-17,2019-07-20,"Business","SIREQUINOXFWD1N",6,8,9,7,9,8,2,"They charged me $30 for gas when I filled up tank just a few miles from airport. This is the 3rd time over the last year when Hertz at the PHX airport has overcharged me."
"838900893",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIR PACIFICA N",10,10,10,10,10,10,10,"Easy pick up and return. Great vehicle!"
"910650252",2019-07-21,2019-07-14,2019-07-19,"Business","COROLLA N",,,,,,,,
"839063061",2019-07-21,2019-07-13,2019-07-17,"Leisure","SORENTO FWD3.3N",10,10,6,10,10,10,10,"great car, texted space number, walk right to it, good price"
"910043842",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIRMALIBU 1.5 N",7,7,10,10,10,10,10,"The ease of picking up and dropping off the car is most excellent"
"912859566",2019-07-21,2019-07-17,2019-07-17,"Both Business and Leisure","SIR EXPLORER 3N",8,9,8,9,9,9,8,"It was quick to get to the car and out but the rear window wiper was gone and the console in the front console was broken and the window had a chip."
"913017545",2019-07-21,2019-07-17,2019-07-19,"Business","SIR MURANO FWDN",1,10,5,0,0,0,2,"Lack of cars and uncaring or indifferent employees towards what to do other than wait for a car to come up from return. I get it's busy - but plan accordingly - clearly staff is been shifted as you push for ereceipts vs. paper and the lack of check-in / return agents when you return the car. I don't have a preference in paper or estatements but hopefully, those people would help in the return process and cleaning of the cars for return, just better planning for the pick-up of cars. Normally this location has no issues and is spot on this time I was highly annoyed with waiting over 20 min. to get a car! I even tried to use my points but was told I had to do that ahead of time; well I wouldn't have had to use points if you had cars - so ... thanks for the wait in the heat -"
"913731361",2019-07-21,2019-07-18,2019-07-20,"Leisure","SIR 300 3.6 AWN",9,2,10,0,9,10,9,"I was upsold from my original quote and I do not believe it was correct. My reservation was for a Chev Impala. When I got the counter they said I had reserved an economy car? The then upsold me to a car for nearly twice what I had ordered. They put in the computer and when I questioned it an to review it was already done so I just let it go. Please review my original order and provide feedback. Thanks"
"839061985",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIR 300 3.6 RWN",9,9,10,9,9,10,7,"The car rental was in itself fine. The agent I dealt with kept trying to up-sell me additional insurance, telling me why my insurance wouldn't cover the damages first. Tried to get me to buy pre-pay gas and upgrade the vehicle. I understand these are options but it was more of a hard sell. Finally, he never told me they were going to charge me extra for sirius satellite radio. I didn't notice it on the paperwork till later. I decided to use the satellite radio during the rental so I'm fine with the charge now, but I didn't originally want it and didn't know he was going to add it automatically to the rental."
"835504902",2019-07-21,2019-07-08,2019-07-20,"Leisure","SIR CAMARO CV2N",10,10,10,10,10,10,10,"Easy pick-up and return and great selection of cars to choose from."
"838008102",2019-07-21,2019-07-11,2019-07-15,"Leisure","SENTRA 1.8 N",,,,,,,,
"837183852",2019-07-21,2019-07-10,2019-07-20,"Both Business and Leisure","SIR 4RUNNER 4WN",10,10,10,10,0,10,10,"I am using lull my experiences with you to generalize. This trip I pick a car out of about 30 choice just to be told when I was leaving and you g through the attendants booth that this car couldn't leave because of an mechanical issue. Why was it even available to choose. It put me back 45 by the tome I complained and asked for an upgrade for my I convience"
"910754331",2019-07-21,2019-07-14,2019-07-17,"Both Business and Leisure","SENTRA 1.8 N",8,10,9,5,8,8,5,"When checking out. I didn't know since obese using a debit card at an airport location I needed two ids even though I had my flight information agent was not helpful he told me I could rent without the return flight number even though I had the itenarty"
"838028494",2019-07-21,2019-07-12,2019-07-15,"Leisure","C300 2.0 CV RWN",,,,,,,,
"910133280",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIRMALIBU 1.5 N",0,2,10,10,10,10,10,"Picking up and dropping of the car was easy and quick."
"913573220",2019-07-21,2019-07-18,2019-07-21,"Leisure","SIR Q50 AWD SUN",7,9,8,0,7,9,5,"I felt as though the value for what you get is great, especially when you compare to Avis, National, etc. That said I I prepaid about a month in advance of my trip only to find that the price for the vehicle class I booked was $50 lower the day before my rental. I also did not appreciate being stuck with a car from a lower class when I paid the premium for a higher classed vehicle. This isn't to say that I didn't enjoy the car I was put in, but I would have preferred being in a car class that I paid more than a premium for."
"914054492",2019-07-21,2019-07-18,2019-07-20,"Business","GOLF 4D 1.4 N",,,,,,,,
"910625645",2019-07-21,2019-07-14,2019-07-16,"Both Business and Leisure","SIR ELANTRAFT2N",,,,,,,,
"910305244",2019-07-21,2019-07-13,2019-07-18,"Business","SIRESCALAD4X4 N",10,10,10,10,10,10,10,"Unable to provide reserved car and desk agent upgraded. Very helpful"
"838714870",2019-07-21,2019-07-12,2019-07-20,"Both Business and Leisure","SIR 300 3.6 AWN",10,10,10,10,10,10,10,"Effortless rental process. Just pick any car you want and drive away."
"912743753",2019-07-21,2019-07-17,2019-07-17,"Business","SIR 300 3.6 RWN",,,,,,,,
"910045511",2019-07-21,2019-07-13,2019-07-20,"Leisure","SIR EXPLORER 3N",9,10,9,10,10,10,10,"We love being able to choose our car from the President's Circle. That way, we can get a car or SUV that we enjoy driving."
